type,directory,path,size,modified,permissions
dir,"repos/projfind",".git/",182,1744181103,755
file,"repos/projfind",".git/COMMIT_EDITMSG",2587,1744179976,644
file,"repos/projfind",".git/HEAD",21,1743401324,644
file,"repos/projfind",".git/MERGE_RR",0,1744179976,644
file,"repos/projfind",".git/config",290,1743418556,644
file,"repos/projfind",".git/description",73,1743401321,644
dir,"repos/projfind",".git/hooks/",556,1743401321,755
file,"repos/projfind",".git/hooks/applypatch-msg.sample",478,1743401321,755
file,"repos/projfind",".git/hooks/commit-msg.sample",896,1743401321,755
file,"repos/projfind",".git/hooks/fsmonitor-watchman.sample",4726,1743401321,755
file,"repos/projfind",".git/hooks/post-update.sample",189,1743401321,755
file,"repos/projfind",".git/hooks/pre-applypatch.sample",424,1743401321,755
file,"repos/projfind",".git/hooks/pre-commit.sample",1649,1743401321,755
file,"repos/projfind",".git/hooks/pre-merge-commit.sample",416,1743401321,755
file,"repos/projfind",".git/hooks/pre-push.sample",1374,1743401321,755
file,"repos/projfind",".git/hooks/pre-rebase.sample",4898,1743401321,755
file,"repos/projfind",".git/hooks/pre-receive.sample",544,1743401321,755
file,"repos/projfind",".git/hooks/prepare-commit-msg.sample",1492,1743401321,755
file,"repos/projfind",".git/hooks/push-to-checkout.sample",2783,1743401321,755
file,"repos/projfind",".git/hooks/sendemail-validate.sample",2308,1743401321,755
file,"repos/projfind",".git/hooks/update.sample",3650,1743401321,755
file,"repos/projfind",".git/index",2533,1744181103,644
dir,"repos/projfind",".git/info/",14,1743401321,755
file,"repos/projfind",".git/info/exclude",240,1743401321,644
dir,"repos/projfind",".git/logs/",16,1743401324,755
file,"repos/projfind",".git/logs/HEAD",882,1744179976,644
dir,"repos/projfind",".git/logs/refs/",24,1743401324,755
dir,"repos/projfind",".git/logs/refs/heads/",8,1743401324,755
file,"repos/projfind",".git/logs/refs/heads/main",882,1744179976,644
dir,"repos/projfind",".git/logs/refs/remotes/",12,1743401324,755
dir,"repos/projfind",".git/logs/refs/remotes/origin/",16,1743507200,755
file,"repos/projfind",".git/logs/refs/remotes/origin/HEAD",193,1743401324,644
file,"repos/projfind",".git/logs/refs/remotes/origin/main",453,1744179981,644
dir,"repos/projfind",".git/objects/",212,1744181103,755
dir,"repos/projfind",".git/objects/05/",76,1743506982,755
file,"repos/projfind",".git/objects/05/42f055729f58c5dfb5ae0d0289f9c87c243e83",131,1743506982,644
dir,"repos/projfind",".git/objects/0d/",76,1744179961,755
file,"repos/projfind",".git/objects/0d/008191de032641fbd2a2eb545009a5e51d24f2",396,1744179961,644
dir,"repos/projfind",".git/objects/16/",76,1744179976,755
file,"repos/projfind",".git/objects/16/83728031be7aa16b7223d175a6ff3396816a01",176,1744179976,644
dir,"repos/projfind",".git/objects/1a/",76,1743507195,755
file,"repos/projfind",".git/objects/1a/0f34c996a2a963281fa5314e389e7b8d01a2fd",167,1743507195,644
dir,"repos/projfind",".git/objects/1e/",76,1743506983,755
